member_name,filename,gsm_id_from_filename,sample_code_from_filename,size_bytes
GSM4215858_C00039.csv.gz,GSM4215858_C00039.csv.gz,GSM4215858,C00039,170288
GSM4215859_C00055.csv.gz,GSM4215859_C00055.csv.gz,GSM4215859,C00055,174757
GSM4215860_C00074.csv.gz,GSM4215860_C00074.csv.gz,GSM4215860,C00074,158046
GSM4215861_C00085.csv.gz,GSM4215861_C00085.csv.gz,GSM4215861,C00085,169817
GSM4215862_C00105.csv.gz,GSM4215862_C00105.csv.gz,GSM4215862,C00105,161028
GSM4215863_C00120.csv.gz,GSM4215863_C00120.csv.gz,GSM4215863,C00120,156343
GSM4215864_C00132.csv.gz,GSM4215864_C00132.csv.gz,GSM4215864,C00132,163282
GSM4215865_C00158.csv.gz,GSM4215865_C00158.csv.gz,GSM4215865,C00158,162860
GSM4215866_C00168.csv.gz,GSM4215866_C00168.csv.gz,GSM4215866,C00168,161325
GSM4215867_C00186.csv.gz,GSM4215867_C00186.csv.gz,GSM4215867,C00186,157073
GSM4215868_C00188.csv.gz,GSM4215868_C00188.csv.gz,GSM4215868,C00188,153664
GSM4215869_C00190.csv.gz,GSM4215869_C00190.csv.gz,GSM4215869,C00190,164866
GSM4215870_C00192.csv.gz,GSM4215870_C00192.csv.gz,GSM4215870,C00192,161172
GSM4215871_C00193.csv.gz,GSM4215871_C00193.csv.gz,GSM4215871,C00193,154275
GSM4215872_C00195.csv.gz,GSM4215872_C00195.csv.gz,GSM4215872,C00195,165576
GSM4215873_C00196.csv.gz,GSM4215873_C00196.csv.gz,GSM4215873,C00196,169426
GSM4215874_C00197.csv.gz,GSM4215874_C00197.csv.gz,GSM4215874,C00197,166310
GSM4215875_C00198.csv.gz,GSM4215875_C00198.csv.gz,GSM4215875,C00198,165756
GSM4215876_C00199.csv.gz,GSM4215876_C00199.csv.gz,GSM4215876,C00199,159978
GSM4215877_C00202.csv.gz,GSM4215877_C00202.csv.gz,GSM4215877,C00202,169890
GSM4215878_C01413.csv.gz,GSM4215878_C01413.csv.gz,GSM4215878,C01413,159275
GSM4215879_C01418.csv.gz,GSM4215879_C01418.csv.gz,GSM4215879,C01418,157316
GSM4215880_C01631.csv.gz,GSM4215880_C01631.csv.gz,GSM4215880,C01631,170672
GSM4215881_C01776.csv.gz,GSM4215881_C01776.csv.gz,GSM4215881,C01776,160305
